X105_4M	X10_4M	X128_4M	X12_4M	X130_4M	X133_4M	X137_4M	X150_4M	X157_4M	X172_4M	X180_4M	X181_4M	X184_4M	X201_4M	X229_4M	X238_4M	X240_4M	X256_4M	X258_4M	X263_4M	X265_4M	X268_4M	X26_4M	X272_4M	X274_4M	X275_4M	X276_4M	X281_4M	X282_4M	X332_4M	X335_4M	X338_4M	X341_4M	X343_4M	X350_4M	X367_4M	X377_4M	X383_4M	X385_4M	X397_4M	X39_4M	X42_4M	X45_4M	X51_4M	X521_4M	X526_4M	X527_4M	X536_4M	X544_4M	X549_4M	X560_4M	X565_4M	X567_4M	X572_4M	X582_4M	X585_4M	X587_4M	X589_4M	X590_4M	X591_4M	X599_4M	X608_4M	X615_4M	X624_4M	X633_4M	X637_4M	X78_4M	X87_4M
MN00051	0	0	0	0	0	0	0	0	0	0	0	0	0.000110069152698388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000245240323101627	0	0	0	0	0
MN00052	0	2.17036260325474e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179499535631077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00053	0	0	0.000228985276899088	0	0.000453310546945701	0	0.00427510540712861	0.00161854910920914	0	0	0.103823512261166	0.00767391246452993	0.000310071930456275	0	0	0	0	0	0	0.000310208044017911	0	0	0.0678649254376908	0	0	0	4.8594578325037e-05	6.91426457586628e-05	0	3.1898780905721e-05	0	0	0.00418125563416542	0	0	0	0	0.0592001166926962	0	0	0	0.00259872968602161	0	0.00109718237600716	0.000915601258388038	0	0	0.000992376188023831	0.0416084618470466	0.0210346780318458	0	0.000277832116583947	0	0.0147202537633379	0	0	0	0	0.00714640104498319	0.00477356064410484	0	0.00016691549213957	0.000492321657055583	0	0	0	0	0
MN00054	0	3.67231217650164e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.62317329011936e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193181701090598	0	0	0	0	0	0	4.91126201757602e-05	0	0	0	0	0
MN00057	3.42508621767298e-05	0	0	0	0	0	0	0.000134968575549217	0	0	0.000590961070668045	0	0	0	0	0	0	0	0	0.000638168216959672	0	0	0	0.00573373272827712	0.000297959301300952	0	0	0.000468336853645347	0	0	0.00124921134441032	0	0	0.00147166980345655	5.78837549936945e-05	0	7.02753603183408e-05	0.000123623127775943	0	0	0	0.000362176490244551	0	0	0.000100630689753143	0.0634985849124723	0.000282584921170995	0.00010778807884894	0	0.00395351776229286	0	0	0.000591303140336947	0.000883912326613119	0.00281676498933434	0	0.000261399589696183	0	0.000354290473066665	0	0	0.00041635355400542	0	0	0	0.000317803581637397	0.000371765257983383	6.47751048430957e-05
MN00058	0	0	0	0	0	0	0	0	0	0	0	0	0.000226380910582041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00059	0	0	0	0	0	0	0	0	0	0	0.0138130236333502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00060	0	0	1.78725633039894e-05	0	0	0.00145148871545945	0.00149429714607265	0	0	0.000202789419212479	0.000610022398373667	0	0	0	0.0504957363873513	0	0	2.47326553113773e-05	4.03738818013952e-05	0	0	0	0.000548406183296931	0	0	0	2.33515797789454e-05	0	5.14316671191767e-05	0.000101731525920434	0	0	0	0	7.2698038245859e-05	0	0.0134543745292385	0	0	0	0.0028886212723328	0.00135334273955656	0	0	0	0	0	0	0	0	0	0.000733920415665991	0	0	0	0	0	0	0	0	0	0.000281386503499738	0	0	0	0.000828883320893975	0	0.000334984077265425
