X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B
MN00045	0	0	0.00453415895216012	0	0	0	0	0	0	0.000395085417180264	0	0	0	0	0	0	0	0	0.00144953303447879	0	0	0	0	0	0	0	0	0	0.000111312173002907	0	0	0	0.000217090323418023	0	0	0	0	0	0	0	0	0	0.000258915496551059	0	0	0	0	0	0	0	0	0.000529629803869631	0	0	0	0	0	0	8.11359732435683e-05	0	0	0	0	0	9.62342411015236e-05	0	0	0
MN00046	0	0	0	0	0	0	0	0	0	0.00107190221857876	0	0.00114420920025451	0	0.00155959833565335	0	0	0	0	0	0	0	0.00158020652941507	0	0	5.56633220057744e-05	0.0005718102286359	0.00239592523547901	0.000275000079624631	0.00209784144665849	0.00209091728667084	0	0	0.0099712465734039	0	0.0057951427245866	0	0	0	0	0	0.00310117353490295	0	0	0	0	0	0	0	0	0	0	0.00158958224048731	0	0	0	0	0	0	0.0036638055839737	0.00331826827078593	0	0	0	0	0.000260794067249564	0	0	0
MN00047	0	0	0	0	0	0	0	0	0	8.38186529608311e-05	0	0	0	0	0	0	0	0	0	0	8.58798103976338e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000106072527550932	0	0	0
MN00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158541820083143	0	0	0	0	0	0	0	0	0	0	0
MN00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.38754382984379e-05	0	0	0
MN00050	0	0	0.000202239480585741	0	0	0	0	0	0	0	0	0	0.000110128949465538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156086821577065	0	7.89128949803841e-05	4.58353730819761e-05	0	0	0	0	0	0.000137800002152659	0	0	3.32103680251865e-05	0	0	0	0	0	0	0	0	0	0	0	4.20554439027231e-05	0	0	0	2.58547039316979e-05	0
MN00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000796550565351522	0	0	0
MN00052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00622961791699287	0	0	0
MN00053	0	0	0.156237111613312	0	0	0	0	0	0	0	0	2.50944790588741e-05	0.0256290529086837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000354740602871499	0	0	0	0	0	0.00012891579331175	0	0	0	0.000102262040991126	0	0	0	0	0	0	0	0	0.000359245761538988	0	0.22953982444138	0	0	0	0	0	0	0	0	0	0	0.000422641509379399	0	0	0.00028428558832187
MN00054	0	7.05114496211666e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000425032781356905	0	0	0
